id,instruction,output,fail_mode
1,What are some unique curtain tie backs that you can make yourself? Answer in bullet points. Answer in all lower case.,"*chain
*circle and pin
*jute rope
*wooden beaded rope
*necklace or bracelet
*door knob
*length of a leather belt
*macrame rope
*string of artificial flowers",prompt compliance
2,Give me a list of some characteristics of a good coffee shop? answer in a paragraph.,"Some characteristics of a good coffee shop include having very good coffee that is either freshly roasted locally or acquired from a quality roaster. They also have high-end coffee grinders, brewing machines, and a quality espresso machine operated by well-trained baristas. A good coffee shop offers different coffee roast options, such as medium roast and dark roast, and various brewing methods like drip coffee and pour-over. Additionally, they provide a variety of cafe fare, such as pastries and croissants, and ensure ample seating with power outlets available by most seats.






",not a full sentence
4,Give me five ways in which I can make my homebrew beer more interesting. answer in json,"{
  ""ways_to_make_homebrew_beer_more_interesting"": [
    {
      ""method"": ""Use different hops"",
      ""description"": ""There is a huge variety of hops available to homebrewers, each introducing its own flavor and aroma, from pineapple and apricots to pine trees and woods, to grapefruit pith and lemon zest. Different hops can add interesting changes to the beer's flavor profile and affect bitterness depending on their alpha acid levels.""
    },
    {
      ""method"": ""Use a different yeast"",
      ""description"": ""Yeast not only ferments the beer but also imparts unique flavors. English yeast strains add malty and sweet flavors, California yeast creates a clean and crisp beer, and saison yeast offers bright and fruity flavors.""
    },
    {
      ""method"": ""Use different grains"",
      ""description"": ""Changing the type or amount of base malts can alter the alcohol content. Experimenting with different base or specialty grains, like swapping American pale malts for a British variety or using a darker roast, can subtly change the flavor.""
    },
    {
      ""method"": ""Add fruit, spices or herbs"",
      ""description"": ""Incorporating ingredients like fruits, spices, herbs, or other additives such as strawberries, basil, vanilla beans, or cardamom can personalize and enhance the flavors of your beer.""
    },
    {
      ""method"": ""Alter your water profile"",
      ""description"": ""Adjusting the mineral content of your brewing water can significantly influence the taste of your beer, making it fuller, sweeter, drier, more bitter, or even sour, depending on the desired beer style.""
    }
  ]
}
",prompt compliance
5,What is a good way to get around without a car? give numbered list,"1.Use public transport such as buses and trains.
2.Walk.
3.Use a bicycle.
4.Use an electric scooter.",prompt compliance
6,Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters,"*Mount Everest. Height: 8,848 meters
*K2. Height: 8,611 meters
*Kangchenjunga. Height: 8,586 meters
*Lhotse. Height: 8,516 meters
*Makalu. Height: 8,485 meters",factual correctness
7,List 6 different types of rain in Seattle,"-Mist
-Drizzle
-Sleet
-Snow
-Freezing Rain
-Shower Rain",factual correctness
8,"I asked a question and got this response back: 1. Make your bike sound like it has an engine by wrapping the can around the back tire.
 2. A percussion instrument to play along with friends in a jam session. You could just crinkle it, hit it with a pen, or fill it with sand or debris and shake it. 
 3. A baking tool. You can used the bottom of the can to stamp out perfectly circle, uniform cookies from a rolled-out sheet of cookie dough.
 4. A field razor. Tear the can carefully to create an effective cutting device for emergency use.
 5. A make shift ball to throw around with friends at the park. An empty can could be a fun projectile to use in a friendly game of 3 Flies Up. what is my question?",What are some creative uses for an empty Coke can?,grammar
9,What are some different things you should bring with you on a day hiking trip?,"You should bring water, a snack, sunscreen, hiking boots, a first aid kit, and a cellphone on a day hiking trip",punctuation
10,What shapes are made up of straight lines? Answer concisely.,"Shapes made up of straight lines include triangles, rectangles, parallelograms, trapezoids, kites, polygons (like pentagons and hexagons), diamonds (rhombuses), stars, rays, and line segments.",chattiness
11,Help me come up with 3 ideas for a new business and how I can start it,"Here are three innovative business ideas along with steps on how to start them:

Revolutionary Ride-Sharing:

Idea: Launch a ride-sharing app that focuses on eco-friendly electric vehicles, targeting environmentally conscious commuters.
How to Start: Secure funding from investors interested in sustainability. Develop an app for booking energy-efficient rides and tracking carbon footprint reduction. Partner with electric car manufacturers and local charging stations. Launch in cities known for environmental awareness, offering incentives for users to switch to greener transportation options.
Culinary Concoctions:

Idea: Start a gourmet food delivery service that offers exotic ingredients and meal kits featuring international cuisines.
How to Start: Collaborate with specialty food suppliers to source exotic ingredients not commonly available in supermarkets. Build a user-friendly website or app where customers can choose their cuisine and schedule deliveries. Introduce subscription plans to build a loyal customer base. Your service will cater to adventurous cooks looking to explore new culinary landscapes.
AI-mazing Personal Styling:

Idea: Create an AI-powered personal styling service that provides customized fashion advice and curated shopping experiences.
How to Start: Develop an AI algorithm to analyze customer preferences, body types, and current fashion trends. Partner with a variety of clothing brands and retailers to offer a broad selection of styles. Launch an app where users can input their style preferences and receive personalized outfit recommendations, complete with virtual try-on features and integrated online shopping.
These ideas aim to tap into current trends and consumer needs, providing a strong foundation for successful business ventures.",tone
